fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
29,0.17647058823529413,0.047619047619047616,0.0,0.0,0.0,0.07692307692307693,0.0,0.08695652173913043,0.0,0.0,0.1,0.038461538461538464,0.06451612903225806,0.0,0.0,0.0,0.08,0.045454545454545456,0.0,0.0,0.0,0.0,0.038461538461538464,0.09523809523809523,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.03225806451612903,0.09523809523809523,0.07692307692307693,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0625,0.1111111111111111,0.07407407407407407,0.0,0.0,0.0,0.15,0.0,0.0,0.08,0.16666666666666666,0.043478260869565216,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.1875,0.0,0.0,0.0,0.08823529411764706,0.08571428571428572,0.038461538461538464,0.045454545454545456,0.07407407407407407,0.0,0.03125,0.03571428571428571,0.0,0.0,0.041666666666666664,0.0,0.07692307692307693,0.0,0.0,0.2857142857142857,0.0,0.04,0.0,0.10526315789473684,0.05,0.15789473684210525,0.043478260869565216,0.0,0.0,0.0,0.10526315789473684,0.0,0.034482758620689655,0.04,0.07692307692307693,0.1111111111111111,0.0,0.0,0.05,0.0,0.05,0.08,0.0,0.0,0.08333333333333333,0.0,0.0,0.047619047619047616,0.058823529411764705,0.0,0.02702702702702703,0.038461538461538464,0.0,0.06896551724137931,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.03225806451612903
30,0.0,0.0,0.0,0.14285714285714285,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.07692307692307693,0.058823529411764705,0.0,0.029411764705882353,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.047619047619047616,0.0,0.0,0.0,0.0,0.11764705882352941,0.03333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655
31,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.04,0.058823529411764705,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.0,0.02631578947368421,0.0,0.037037037037037035,0.0,0.0,0.0,0.10526315789473684,0.05,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.037037037037037035,0.022727272727272728,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.041666666666666664,0.0,0.0,0.05,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05,0.0,0.02702702702702703,0.05405405405405406,0.0,0.043478260869565216,0.0,0.0,0.0967741935483871,0.034482758620689655,0.0,0.0,0.0,0.03225806451612903,0.0,0.043478260869565216,0.0,0.0,0.0,0.08,0.3888888888888889,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0967741935483871,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.03125
32,0.1,0.043478260869565216,0.0,0.0,0.0,0.034482758620689655,0.0,0.08,0.05555555555555555,0.0,0.09090909090909091,0.03571428571428571,0.029411764705882353,0.0,0.030303030303030304,0.04,0.07407407407407407,0.13636363636363635,0.0,0.0,0.05263157894736842,0.0,0.11538461538461539,0.041666666666666664,0.0,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0625,0.041666666666666664,0.034482758620689655,0.05263157894736842,0.0,0.041666666666666664,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.03571428571428571,0.0,0.0,0.05128205128205128,0.06896551724137931,0.058823529411764705,0.047619047619047616,0.06896551724137931,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.11538461538461539,0.15,0.04,0.0625,0.0,0.047619047619047616,0.06451612903225806,0.0,0.0,0.10526315789473684,0.058823529411764705,0.047619047619047616,0.0,0.11428571428571428,0.14285714285714285,0.07407407407407407,0.19047619047619047,0.03333333333333333,0.0,0.12903225806451613,0.10714285714285714,0.0,0.0,0.08,0.03125,0.15384615384615385,0.041666666666666664,0.0,0.11538461538461539,0.0,0.16666666666666666,0.0,0.35294117647058826,0.0,0.043478260869565216,0.04,0.0,0.06060606060606061,0.0,0.09523809523809523,0.0,0.03225806451612903,0.0,0.034482758620689655,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.03571428571428571,0.0,0.0,0.07692307692307693,0.0,0.0,0.043478260869565216,0.05263157894736842,0.038461538461538464,0.02564102564102564,0.03571428571428571,0.0,0.06451612903225806,0.0,0.0,0.0,0.047619047619047616,0.043478260869565216,0.05555555555555555,0.05,0.045454545454545456,0.06666666666666667,0.0,0.0625
33,0.05263157894736842,0.047619047619047616,0.0,0.0,0.0,0.037037037037037035,0.0,0.13636363636363635,0.0625,0.0,0.1,0.038461538461538464,0.03125,0.0,0.0,0.043478260869565216,0.038461538461538464,0.15,0.0,0.0,0.02702702702702703,0.0,0.125,0.045454545454545456,0.0,0.06666666666666667,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.06666666666666667,0.045454545454545456,0.037037037037037035,0.058823529411764705,0.0,0.045454545454545456,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.038461538461538464,0.0,0.0,0.02631578947368421,0.03571428571428571,0.030303030303030304,0.05263157894736842,0.03571428571428571,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.08,0.05,0.043478260869565216,0.07142857142857142,0.0,0.05263157894736842,0.03333333333333333,0.0,0.0,0.11764705882352941,0.0,0.05263157894736842,0.0,0.05714285714285714,0.02702702702702703,0.08,0.15,0.03571428571428571,0.0,0.1,0.11538461538461539,0.0,0.0,0.041666666666666664,0.03333333333333333,0.12,0.045454545454545456,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.375,0.043478260869565216,0.0,0.06451612903225806,0.0,0.05,0.0,0.034482758620689655,0.04,0.037037037037037035,0.1111111111111111,0.0,0.0,0.05,0.0,0.0,0.038461538461538464,0.0,0.0,0.04,0.0,0.0,0.047619047619047616,0.058823529411764705,0.0,0.02702702702702703,0.038461538461538464,0.0,0.03333333333333333,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05,0.034482758620689655,0.0,0.06666666666666667
34,0.047619047619047616,0.043478260869565216,0.0,0.0,0.08695652173913043,0.034482758620689655,0.0,0.038461538461538464,0.0,0.0,0.043478260869565216,0.03571428571428571,0.029411764705882353,0.0,0.0,0.0,0.03571428571428571,0.041666666666666664,0.0,0.0,0.0,0.0,0.03571428571428571,0.041666666666666664,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.030303030303030304,0.041666666666666664,0.034482758620689655,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.02857142857142857,0.1,0.03333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.03571428571428571,0.045454545454545456,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.05,0.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.03571428571428571,0.041666666666666664,0.06896551724137931,0.0,0.029411764705882353,0.03333333333333333,0.0,0.0,0.08,0.0,0.034482758620689655,0.041666666666666664,0.0,0.07407407407407407,0.05555555555555555,0.0,0.0,0.0,0.0,0.043478260869565216,0.3684210526315789,0.0,0.0,0.0,0.15,0.15,0.03225806451612903,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.1875,0.0,0.03571428571428571,0.0,0.0,0.037037037037037035,0.0,0.0,0.043478260869565216,0.05263157894736842,0.0,0.02564102564102564,0.07407407407407407,0.0,0.03125,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.030303030303030304
35,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.038461538461538464,0.0625,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.05555555555555555,0.0,0.0,0.0,0.03225806451612903
36,0.02857142857142857,0.0,0.0,0.024390243902439025,0.05405405405405406,0.023255813953488372,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.022222222222222223,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.02127659574468085,0.018518518518518517,0.022727272727272728,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.027777777777777776,0.02564102564102564,0.03333333333333333,0.03125,0.02857142857142857,0.0,0.0,0.0,0.029411764705882353,0.03225806451612903,0.02857142857142857,0.0,0.019230769230769232,0.058823529411764705,0.0,0.02631578947368421,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.05,0.02564102564102564,0.0,0.0,0.05555555555555555,0.0,0.05714285714285714,0.2894736842105263,0.0,0.0,0.0,0.045454545454545456,0.024390243902439025,0.023255813953488372,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
37,0.0,0.0,0.0,0.05263157894736842,0.0625,0.0,0.0,0.11764705882352941,0.1,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0625,0.0,0.0,0.03225806451612903,0.0,0.05,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.058823529411764705,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.045454545454545456,0.0,0.0,0.0,0.041666666666666664,0.0,0.0625,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07142857142857142,0.0,0.0,0.08333333333333333
38,0.06451612903225806,0.029411764705882353,0.0,0.02631578947368421,0.09090909090909091,0.05128205128205128,0.0,0.05555555555555555,0.0,0.0,0.06060606060606061,0.02564102564102564,0.045454545454545456,0.0,0.0,0.0,0.08108108108108109,0.02857142857142857,0.0,0.0,0.0,0.0,0.02564102564102564,0.058823529411764705,0.0,0.07407407407407407,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.022727272727272728,0.058823529411764705,0.05128205128205128,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.044444444444444446,0.1,0.05,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.05263157894736842,0.0625,0.027777777777777776,0.037037037037037035,0.0,0.0,0.1,0.0,0.0,0.06666666666666667,0.03571428571428571,0.1,0.0,0.041666666666666664,0.0625,0.02564102564102564,0.02857142857142857,0.05,0.0,0.022222222222222223,0.024390243902439025,0.0,0.0,0.11764705882352941,0.023255813953488372,0.05128205128205128,0.125,0.0,0.1111111111111111,0.034482758620689655,0.0,0.0,0.030303030303030304,0.0625,0.09375,0.05714285714285714,0.0,0.022222222222222223,0.0,0.0967741935483871,0.13333333333333333,0.3870967741935484,0.02631578947368421,0.05128205128205128,0.03125,0.0,0.0,0.0,0.15384615384615385,0.030303030303030304,0.05263157894736842,0.0,0.0,0.08333333333333333,0.0,0.03571428571428571,0.029411764705882353,0.03333333333333333,0.0,0.02,0.02564102564102564,0.0,0.1,0.0,0.0,0.0,0.06451612903225806,0.0,0.034482758620689655,0.0,0.0,0.04878048780487805,0.0,0.046511627906976744
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.04,0.0,0.045454545454545456,0.0,0.0,0.0,0.07142857142857142,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.05263157894736842,0.05,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03571428571428571,0.25,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06666666666666667,0.0,0.06666666666666667,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.05263157894736842,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.038461538461538464,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.03125,0.0,0.0,0.02127659574468085,0.0,0.027777777777777776,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.024390243902439025,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.027777777777777776,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.030303030303030304,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.04878048780487805,0.05405405405405406,0.0,0.03333333333333333,0.0,0.025,0.0,0.03125,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.024390243902439025
43,0.10526315789473684,0.045454545454545456,0.0,0.0,0.0,0.07407407407407407,0.0,0.08333333333333333,0.0,0.0,0.09523809523809523,0.037037037037037035,0.0625,0.0,0.0,0.0,0.07692307692307693,0.043478260869565216,0.0,0.0,0.0,0.0,0.037037037037037035,0.09090909090909091,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03125,0.09090909090909091,0.07407407407407407,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.03125,0.08108108108108109,0.0,0.06060606060606061,0.10526315789473684,0.07142857142857142,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.07692307692307693,0.1,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.05555555555555555,0.05405405405405406,0.037037037037037035,0.043478260869565216,0.07142857142857142,0.0,0.030303030303030304,0.034482758620689655,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15,0.041666666666666664,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.07407407407407407,0.05,0.0,0.0,0.375,0.0,0.0,0.07692307692307693,0.0,0.0,0.08,0.0,0.0,0.045454545454545456,0.05555555555555555,0.0,0.02631578947368421,0.037037037037037035,0.0,0.10344827586206896,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.03125
44,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.25,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.024390243902439025,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.03333333333333333,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0625,0.03571428571428571,0.06666666666666667,0.03125,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.045454545454545456,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
47,0.05714285714285714,0.02631578947368421,0.0,0.023809523809523808,0.02564102564102564,0.046511627906976744,0.0,0.05,0.030303030303030304,0.0,0.05405405405405406,0.023255813953488372,0.02040816326530612,0.02857142857142857,0.0,0.025,0.023255813953488372,0.08108108108108109,0.0,0.0,0.018518518518518517,0.0,0.07317073170731707,0.02564102564102564,0.0,0.03125,0.027777777777777776,0.08823529411764706,0.03125,0.030303030303030304,0.022222222222222223,0.020833333333333332,0.02040816326530612,0.02631578947368421,0.0,0.043478260869565216,0.0425531914893617,0.02564102564102564,0.022727272727272728,0.029411764705882353,0.0,0.02564102564102564,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.024390243902439025,0.023255813953488372,0.05172413793103448,0.020833333333333332,0.05660377358490566,0.06976744186046512,0.02,0.05714285714285714,0.022222222222222223,0.02702702702702703,0.0,0.0,0.02564102564102564,0.024390243902439025,0.0,0.047619047619047616,0.02702702702702703,0.05128205128205128,0.0,0.0,0.05714285714285714,0.02127659574468085,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.018867924528301886,0.018518518518518517,0.047619047619047616,0.05263157894736842,0.045454545454545456,0.023809523809523808,0.06382978723404255,0.09523809523809523,0.0,0.0,0.0,0.02127659574468085,0.046511627906976744,0.02564102564102564,0.0,0.023255813953488372,0.0,0.04878048780487805,0.025,0.0,0.0,0.02631578947368421,0.025,0.02702702702702703,0.06382978723404255,0.0,0.02702702702702703,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.029411764705882353,0.023809523809523808,0.0,0.0,0.02631578947368421,0.029411764705882353,0.0,0.03773584905660377,0.023255813953488372,0.0,0.02127659574468085,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.02702702702702703,0.021739130434782608,0.0,0.06521739130434782
